,name,author,link,rating,rating_count,review_count,price,pages,pages_count,text_of_reviews,age,year
0,Нейросети начало,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/neyroseti-nachalo-69188950/,4.9,433,37,690.00,102 стр. 4 иллюстрации,102,"['Книга отличная. Давно хотела понять как все работает и какие возможности дают нейросети. В книге удобно и понятно все расписано. А главное сразу практическое применение, код. Теперь можно и свои сети попробовать делать.', 'Если вы хотите начать изучать нейросети, то это то, что вам нужно. Автор очень хорошо объясняет, что такое нейросеть и как она работает. Книга содержит примеры и задания, которые помогут вам углубить свои знания в этой области. Я думаю, что эта книга подойдет для всех, кто интересуется нейросетями, независимо от уровня подготовки.', 'В книге по каждой теме приводятся примеры кода, на которых подробно описан каждый шаг. Это очень удобно. Можно скопировать код и проверить его. ', 'Так же есть фишки, которые потом можно использовать и в других кодах.', 'Примеры кодов, тут их много. Новичок в теме или нет, а основы всегда должны быть под рукой. Очень удобно с электронки, скопировал код, и дальше уже меняешь под себя как надо. И для тех кто только пытается понять, тоже сразу на примерах каждый шаг. Отлично!', 'Это отличное введение в мир нейросетей для начинающих. Я научился многому о том, как работают нейроны, как они связаны в нейросетях, как обучать и применять их для различных задач, таких как классификация, регрессия и кластеризация. Автор ясно и доступно объясняют сложные концепции и методы, используя практические примеры и код. Я рекомендую эту книгу всем, кто хочет понимать, как работают нейросети и как их применять в реальной жизни.']",12+,2023
1,Python 3 и PyQt 6. Разработка приложений,Николай Прохоренок,https://www.litres.ru/book/vladimir-dronov/python-3-i-pyqt-6-razrabotka-prilozheniy-68995387/,4.7,3,1,549.00,831 стр. ,831,"['Большая книга, посвященная реализации графических приложений на языке программирования Python,', 'представлено описание с точки зрения функций и алгоритмов решения задач.']",0+,2023
3,Система взаимодействия. Коммуникации в бизнес-приложениях. Разработка в системе 1С:Предприятие 8.3 (+ epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/sistema-vzaimodeystviya-kommunikacii-v-biznes-prilozheniyah-42078187/,4.3,10,3,250.00,130 стр. ,130,"['Полезная книга. Есть примеры оповещения пользователей о выполнении серверных процедур. Описывается механизм взаимодействия сервера и клиента', 'tel961666 достаточно важный вопрос. У меня версия конфигурации ""Управление торговлей"", в ней нет этого модуля. Вопрос: в книге написано как интегрировать в конфигурацию то чего нет? То есть, саму ""Систему взаимодействия"" в ""1С: Управление торговлей"". Я знаю, что в ""1С: Управление нашей фирмой"" это есть из коробки. Включил и пользуешься. Если в книге этого нет, то и смысла в покупке её нет.', 'Недавно моя знакомая писала статью о системе взаимодействия.', 'Система взаимодействия позволяет пользователям программ «1С:Предприятия» обмениваться текстовыми сообщениями, файлами, устраивать аудио и видеоконференции. Начиная с версии 8.3.16 есть возможность демонстрировать экран своего компьютера в ходе видеозвонка.', '', 'Поддерживаются контекстные обсуждения, связанные с конкретными объектами приложения (документами, элементами справочников, отчетами и т. п.). При этом вся переписка связана с объектом приложения и отображается вместе с ним.', '', 'С помощью Системы Взаимодействия разработчики прикладных решений могут реализовывать новые, ранее недоступные бизнес-сценарии, например, создавать чат-боты и автоматические ассистенты, облегчающие работу с приложениями, информировать пользователей о событиях, произошедших в приложении и т. п.', '', 'Система Взаимодействия доступна также в мобильном клиенте «1С:Предприятия 8».', 'Добрый день. Хотелось бы отзыв о самой книге.', 'Знания, полученные из нее позволят взглянуть на всю систему коммуникации человека и компьютера более широко. Также доступны схемы, иллюстрирующие архитектуру этого взаимодействия']",12+,2019
4,Постановка задачи обеспечения автоматизации полного цикла поддержки принятия решения,О. В. Тиханычев,https://www.litres.ru/book/o-v-tihanychev/postanovka-zadachi-obespecheniya-avtomatizacii-polnogo-cikl-67127187/,0.0,0,0,168.00,10 стр. ,10,[],0+,2021
7,Разработка и реализация портальных решений. Практикум,С. В. Маркова,https://www.litres.ru/book/pavel-lukyanov/razrabotka-i-realizaciya-portalnyh-resheniy-praktikum-57232186/,0.0,0,0,350.00,166 стр. ,166,[],0+,2020
8,"Высоконагруженные приложения. Программирование, масштабирование, поддержка (pdf+epub)",Мартин Клеппман,https://www.litres.ru/book/martin-kleppman-1733/vysokonagruzhennye-prilozheniya-programmirovanie-mass-39100996/,4.0,51,11,799.00,640 стр. ,640,"['Не могу что-либо про перевод сказать, читал данную книгу в оригинале. Очень толково и по делу описаны базы данных и интерфейсы. С другой же стороны – половину книги можно вырезать без какой либо потери в качестве и содержании…', 'Altmann Nicolas, hello world', 'Книга претендует на звание «must read» для разработчика отказоустойчивых систем. Представляет собой в первую очередь и в большей мере учебник, нежели справочник. Книга в полной мере раскрывает принципы функционирования самых разных баз данных. Но это далеко не всё, в книге описаны подходы и общие принципы к решению проблем отказов узлов в распределенных системах, выходящие за границы области баз данных. В русскоязычных сообществах книга зовется «кабанчик» и стала классикой в области разработки и проектирования распределенных отказоустойчивых решений. Отмечу высокий порог вхождения для некоторых деталей книги, в том числе B-деревья, алгоритмы консенсуса, и другие математические моменты.', 'Отличная книга, раскрывающая внутреннее устройство баз данных. Даёт понимание, в каких сценариях использовать БД того или иного класса.', '', 'Да, ее можно было бы сократить, убрав различные обороты, подводки и вопросы, на которые автор сам же и отвечает. Тем не менее, считаю, что это не критично и, более того, способствует усвоению материала', 'Книга «с кабанчиком» обязательна к прочтению — это наиболее полное руководство к построению распределённых систем с фокусом на обработку данных (коими является большинство современных web-приложений), основные проблемы, с которыми приходится сталкиваться при проектировании и варианты их решений.', 'Перевод местами хромает, но это не мешает понимать материал. Для всех переведённых терминов даётся их оригинальное название. ', 'Книга будет полезна как мидлам, которые только учатся проектировать распределённые системы, так и сеньорам, которые хотят структурировать свои знания. Для совсем джунов эта книга не подойдёт.', 'Книга стала настольной. Считаю ее необходимой практически любому разработчику или системному аналитику. Описаны все основные аспекты и лучшие практики. Рекомендую']",16+,2017
9,Становление и развитие компьютерных специальностей в Университете «Cинергия»,С. В. Харитонов,https://www.litres.ru/book/v-v-dik/stanovlenie-i-razvitie-komputernyh-specialnostey-v-universitete-ci-18739048/,0.0,0,0,168.00,3 стр. ,3,[],0+,2016
10,Применение нечетких множеств для формирования психологического портрета личности,Г. В. Тарасова,https://www.litres.ru/book/g-v-tarasova/primenenie-nechetkih-mnozhestv-dlya-formirovaniya-psihologich-5002527/,3.0,2,0,168.00,5 стр. ,5,[],0+,2010
11,Программирование на VBA в Excel. Самоучитель,Елена Яковлева,https://www.litres.ru/book/nina-komolova/programmirovanie-na-vba-v-excel-samouchitel-70980223/,5.0,1,1,549.00,512 стр. ,512,"['Что мне особенно понравилось в этой книге, так это структура подачи материала. Автор начинает с базовых понятий, не забегая вперёд, и постепенно углубляется в более сложные темы. Это делает процесс обучения плавным и не перегружает читателя информацией. Описания теории и примеры настолько понятны, что даже если раньше вы не писали код, вы легко сможете понять, о чём идёт речь.']",0+,2024
12,Разработка веб-приложений в Yii 2,Марк Сафронов,https://www.litres.ru/book/mark-safronov-7653961/razrabotka-veb-prilozheniy-v-yii-2-22880106/,3.2,10,1,519.00,394 стр. ,394,"['Жаль потраченных денег, в книге очень много ошибок, автор пропускает описание для него очевидных вещей, которые для новичков очень порой необходимы. Не советую новичкам.']",0+,2014
